"Numéro";"N° Etiquette";"Commune de Prélèvement";"GIC";"Mode Prélt";"Nom";"Date de Mort";"MOIS";"Saison";"saison reprod";"Poids";"Sexe";"Prvt Utérus";"Femelle Allaitante";"Foetus (DSV)";"Femelle non repro";"Phase pré-implan-tatoire";"Nbre d'Emb";"Nbre de res";"Nbre de Cicat Année n";"Nbre de cic de res ou de n-1";"Prvt Dent";"Agedents";"Remarques";"reprod";"nbrepro";"Age"
146;"231";"10205";"B";"C";"BATKOWSKI";28/1/2006 00:00:00;1;1.00;1;5.80;"M";;;;;;;;;;"O";2.00;;;;2
147;"191";"10181";"S";"C";"LASSAIGNES";29/1/2006 00:00:00;1;1.00;1;5.69;"M";;;;;;;;;;"O";5.00;;;;5
148;"230";"10432";"S";"P";"CHARLOT";29/1/2006 00:00:00;1;1.00;1;6.00;"M";;;;;;;;;;"N";;"ABSENCE DE CROC";;;
149;"232";"10432";"S";"C";"CHARLOT";29/1/2006 00:00:00;1;1.00;1;5.90;"F";"O";"N";;;"x";;;;;"O";3.00;;"PI";;3
150;"233";"10432";"S";"V";"CHARLOT";29/1/2006 00:00:00;1;1.00;1;5.30;"F";"O";"N";;;;"5";;;;"O";2.00;;"E";5;2
151;"235";"10418";"S";"C";"MERCIER";29/1/2006 00:00:00;1;1.00;1;5.00;"M";;;;;;;;;;"O";0.00;;;;0
152;"236";"10443";"S";"C";"MARTIN";29/1/2006 00:00:00;1;1.00;1;5.00;"M";;;;;;;;;;"O";0.00;;;;0
153;"237";"10055";"B";"C";"LEBON";29/1/2006 00:00:00;1;1.00;0;5.40;"F";"O";"N";;;;;;"3";;"O";1.00;;"CP";3;1
154;"220";"10252";"B";"P";"CAILLE";30/1/2006 00:00:00;1;1.00;1;5.00;"F";"O";"N";;;"x";;;;;"O";0.00;;"PI";;0
155;"234";"10401";"B";"C";"VIART";30/1/2006 00:00:00;1;1.00;1;5.19;"M";;;;;;;;;;"O";0.00;;;;0
156;"35";"10045";"B";"P";"CARRIC";1/2/2006 00:00:00;2;1.00;2;6.09;"F";"O";"N";;;"x";;;;;"O";2.00;;"PI";;3
157;"252";"10205";"B";"P";"BATKOWSKI";1/2/2006 00:00:00;2;1.00;2;6.80;"M";;;;;;;;;;"O";1.00;;;;2
158;"215";"10041";"B";"P";"BOITHIER";2/2/2006 00:00:00;2;1.00;2;7.00;"M";;;;;;;;;;"O";3.00;;;;4
159;"248";"10401";"B";"V";"MAREY";2/2/2006 00:00:00;2;1.00;2;5.59;"F";"O";"N";;;"x";;;;;"O";0.00;;"PI";;1
160;"249";"10401";"B";"P";"BILLIOUT";2/2/2006 00:00:00;2;1.00;2;6.40;"F";"O";"N";;;"x";;;;;"O";7.00;;"PI";;8
161;"251";"10069";"B";"P";"PICART";2/2/2006 00:00:00;2;1.00;2;8.30;"M";;;;;;;;;;"O";2.00;;;;3
162;"228";"10181";"S";"C";"LASSAIGNES";4/2/2006 00:00:00;2;1.00;2;4.00;"F";"O";"N";;;"x";;;;;"O";0.00;;"PI";;1
163;"240";"10252";"B";"P";"CAILLE";4/2/2006 00:00:00;2;1.00;2;4.59;"F";"O";"N";;;"x";;;;;"O";1.00;;"PI";;2
164;"243";"10427";"B";"C";"COURTOT";4/2/2006 00:00:00;2;1.00;2;6.50;"M";;;;;;;;;;"O";0.00;;;;1
165;"253";"10205";"B";"C";"ETIENNE";4/2/2006 00:00:00;2;1.00;2;5.00;"M";;;;;;;;;;"O";0.00;;;;1
166;"84";"10213";"B";"C";"MOTTARD";5/2/2006 00:00:00;2;1.00;2;6.09;"M";;;;;;;;;;"O";4.00;;;;5
167;"245";"10213";"B";"P";"THIERRY";5/2/2006 00:00:00;2;1.00;2;5.40;"M";;;;;;;;;;"O";0.00;;;;1
168;"246";"10213";"B";"P";"THIERRY";5/2/2006 00:00:00;2;1.00;2;4.59;"M";;;;;;;;;;"O";0.00;;;;1
169;"316";"10045";"B";"P";"CARRIC";5/2/2006 00:00:00;2;1.00;2;6.50;"F";"O Dsv";"N";"5 Foetus";;;"5";;;;"O";4.00;;"E";5;5
170;"244";"10432";"S";"P";"THOMAS";6/2/2006 00:00:00;2;1.00;2;5.90;"M";;;;;;;;;;"O";1.00;;;;2
